ID pracownika,wyplata,liczba dni urlopu,plec,czy na macie¿yñskim
6077,2781,27,m,n
3494,7234,26,m,n
3803,4246,58,m,n
5254,5083,49,k,n
7415,8888,7,m,n
8993,2453,19,k,n
5001,8706,56,k,t
7660,5934,32,m,n
1059,5833,50,m,n
5600,3365,8,k,n
8068,5650,44,km,t
5235,3005,14,k,n
8183,5407,17,m,n
7198,7670,29,m,n
2863,3991,27,k,n
3046,2212,12,k,n
4963,7132,17,km,n
8147,4753,40,m,t
6608,6675,41,m,n
3698,4556,36,k,n
4097,5582,36,m,n
7822,4508,0,km,n
7258,2292,39,m,n
4824,9799,40,m,n
5986,4962,16,k,t
6802,5783,45,k,n
9627,3872,25,m,n
4597,3163,50,k,n
3917,8415,11,m,n
7410,2098,9,k,n
1047,4577,9,m,n
8487,8353,53,k,n
9039,6546,27,m,n
3016,8304,55,k,n
5105,6745,43,m,n
1852,7558,51,k,n
1047,3570,10,m,n
